date,code
1884-05-09,sa_024r_0020_0050_0150
1884-05-10,sa_024r_0020_0050_0160
1884-05-11,sa_024r_0020_0050_0170
1884-05-12,sa_024r_0020_0050_0180
1884-05-13,sa_024r_0020_0050_0190
1884-05-14,sa_024r_0020_0050_0200
1884-05-15,sa_024r_0020_0050_0210
1884-05-16,sa_024r_0020_0050_0220
1884-05-17,sa_024r_0020_0050_0230
1884-05-18,sa_024r_0020_0050_0240
1884-05-19,sa_024r_0020_0050_0250
1884-05-20,sa_024r_0020_0050_0260
1884-05-21,sa_024r_0020_0050_0270
1884-05-22,sa_024r_0020_0050_0280
1884-05-23,sa_024r_0020_0050_0290
1884-05-24,sa_024r_0020_0050_0300
1884-05-25,sa_024r_0020_0060_0010
1884-05-26,sa_024r_0020_0060_0011
1884-05-27,sa_024r_0020_0060_0012
1884-05-28,sa_024r_0020_0060_0013
1884-05-29,sa_024r_0020_0060_0014
1884-05-30,sa_024r_0020_0060_0015
1884-05-31,sa_024r_0020_0060_0016
1884-06-01,sa_024r_0020_0060_0017
1884-06-02,sa_024r_0020_0060_0018
1884-06-03,sa_024r_0020_0060_0019
1884-06-04,sa_024r_0020_0060_0020
1884-06-05,sa_024r_0020_0060_0021
1884-06-06,sa_024r_0020_0060_0022
1884-06-07,sa_024r_0020_0060_0023
1884-06-08,sa_024r_0020_0060_0024
1884-06-09,sa_024r_0020_0060_0025
1884-06-10,sa_024r_0020_0060_0026
1884-06-11,sa_024r_0020_0060_0027
1884-06-12,sa_024r_0020_0060_0028
1884-06-13,sa_024r_0020_0060_0029
1884-06-14,sa_024r_0020_0060_0030
1884-06-15,sa_024r_0020_0060_0031
1884-06-16,sa_024r_0020_0060_0032
1884-06-17,sa_024r_0020_0060_0033
1884-06-18,sa_024r_0020_0060_0034
1884-06-19,sa_024r_0020_0060_0035
1884-06-20,sa_024r_0020_0060_0036
1884-06-21,sa_024r_0020_0060_0037
1884-06-22,sa_024r_0020_0060_0038
1884-06-23,sa_024r_0020_0070_0010
1884-06-24,sa_024r_0020_0070_0020
1884-06-25,sa_024r_0020_0070_0030
1884-06-26,sa_024r_0020_0070_0040
1884-06-27,sa_024r_0020_0070_0050
1884-06-28,sa_024r_0020_0070_0060
1884-06-29,sa_024r_0020_0070_0070
1884-06-30,sa_024r_0020_0070_0080
1884-07-01,sa_024r_0020_0070_0090
1884-07-02,sa_024r_0020_0070_0100
1884-07-03,sa_024r_0020_0070_0110
1884-07-04,sa_024r_0020_0070_0120
1884-07-05,sa_024r_0020_0070_0130
1884-07-06,sa_024r_0020_0070_0140
1884-07-07,sa_024r_0020_0070_0150
1884-07-08,sa_024r_0020_0070_0160
1884-07-09,sa_024r_0020_0070_0170
1884-07-10,sa_024r_0020_0070_0180
1884-07-11,sa_024r_0020_0070_0190
1884-07-12,sa_024r_0020_0070_0200
1884-07-13,sa_024r_0020_0070_0210
1884-07-14,sa_024r_0020_0070_0220
1884-07-15,sa_024r_0020_0070_0230
1884-07-16,sa_024r_0020_0070_0240
1884-07-17,sa_024r_0020_0070_0250
1884-07-18,sa_024r_0020_0070_0260
1884-07-19,sa_024r_0020_0070_0270
1884-07-20,sa_024r_0020_0070_0280
1884-07-21,sa_024r_0020_0070_0290
1884-07-22,sa_024r_0020_0080_0010
1884-07-23,sa_024r_0020_0080_0020
1884-07-24,sa_024r_0020_0080_0030
1884-07-25,sa_024r_0020_0080_0040
1884-07-26,sa_024r_0020_0080_0050
1884-07-27,sa_024r_0020_0080_0060
1884-07-28,sa_024r_0020_0080_0070
1884-07-29,sa_024r_0020_0080_0080
1884-07-30,sa_024r_0020_0080_0090
1884-07-31,sa_024r_0020_0080_0100
1884-08-01,sa_024r_0020_0080_0110
1884-08-02,sa_024r_0020_0080_0120
1884-08-03,sa_024r_0020_0080_0130
1884-08-04,sa_024r_0020_0080_0140
1884-08-05,sa_024r_0020_0080_0150
1884-08-06,sa_024r_0020_0080_0160
1884-08-07,sa_024r_0020_0080_0170
1884-08-08,sa_024r_0020_0080_0180
1884-08-09,sa_024r_0020_0080_0190
1884-08-10,sa_024r_0020_0080_0200
1884-08-11,sa_024r_0020_0080_0210
1884-08-12,sa_024r_0020_0080_0220
1884-08-13,sa_024r_0020_0080_0230
1884-08-14,sa_024r_0020_0080_0240
1884-08-15,sa_024r_0020_0080_0250
1884-08-16,sa_024r_0020_0080_0260
1884-08-17,sa_024r_0020_0080_0270
1884-08-18,sa_024r_0020_0080_0280
1884-08-19,sa_024r_0020_0080_0290
1884-08-20,sa_024r_0020_0080_0300
1884-08-21,sa_024r_0020_0090_0010
1884-08-22,sa_024r_0020_0090_0020
1884-08-23,sa_024r_0020_0090_0030
1884-08-24,sa_024r_0020_0090_0040
1884-08-25,sa_024r_0020_0090_0050
1884-08-26,sa_024r_0020_0090_0060
1884-08-27,sa_024r_0020_0090_0070
1884-08-28,sa_024r_0020_0090_0080
1884-08-29,sa_024r_0020_0090_0090
1884-08-30,sa_024r_0020_0090_0100
1884-08-31,sa_024r_0020_0090_0110
1884-09-01,sa_024r_0020_0090_0120
1884-09-02,sa_024r_0020_0090_0130
1884-09-03,sa_024r_0020_0090_0140
1884-09-04,sa_024r_0020_0090_0150
